City_ID,City,CurrentDescription,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
85,Wewak,moderate rain,-3.5534,143.6268,78.04,84,100,1.36
86,Saint-Gabriel,few clouds,46.3001,-73.3824,63.84,38,23,3.33
87,Jiangyou,light rain,31.7667,104.7167,68.07,88,22,4.47
88,Udachnyy,broken clouds,66.4167,112.4,28.27,74,60,4.03
89,Monte Alegre,clear sky,-2.0078,-54.0692,95.04,39,8,4.12
90,Srednekolymsk,overcast clouds,67.45,153.6833,27.46,68,100,19.13
91,Pecos,clear sky,31.4229,-103.4932,87.06,44,1,4.61
92,Aklavik,broken clouds,68.2191,-135.0107,40.03,65,75,3.44
93,Naze,few clouds,28.3667,129.4833,74.37,77,13,3.38
94,Aripuana,few clouds,-9.1667,-60.6333,102.02,25,20,3.4
95,Jacareacanga,broken clouds,-6.2222,-57.7528,98.94,31,69,1.92
96,Sibolga,overcast clouds,1.7427,98.7792,74.07,87,100,2.77
97,Georgetown,scattered clouds,5.4112,100.3354,80.89,85,40,3.44
98,Kamaishi,overcast clouds,39.2667,141.8833,63.9,84,100,3.96
99,Konongo,light rain,6.6167,-1.2167,78.57,88,92,2.8
100,Te Anau,overcast clouds,-45.4167,167.7167,38.14,94,87,3.2
101,Bengkulu,broken clouds,-3.8004,102.2655,74.84,90,84,5.59
102,Nikolskoye,overcast clouds,59.7035,30.7861,44.49,73,98,6.73
103,Akyab,light rain,20.15,92.9,80.24,84,100,4.09
104,Novoilinsk,few clouds,51.6829,108.7143,51.42,77,21,2.75
105,Celestun,clear sky,20.8667,-90.4,87.26,61,6,3.53
106,Bluff,scattered clouds,-46.6,168.3333,41.81,85,25,10.67
107,Tambacounda,few clouds,13.7539,-13.7586,86.05,66,20,2.3
108,Provideniya,light snow,64.3833,-173.3,32.97,86,100,9.33
109,Nome,overcast clouds,64.5011,-165.4064,33.17,94,100,8.81
110,Roma,scattered clouds,43.2128,-75.4557,70.83,57,41,5.01
111,Shingu,overcast clouds,33.7333,135.9833,73.9,87,95,1.05
112,Norman Wells,light rain,65.282,-126.8329,42.84,93,90,2.3
113,Kailua,light rain,21.4022,-157.7394,75.15,65,85,21.65
114,Stornoway,scattered clouds,58.2093,-6.3865,58.96,72,40,8.05
115,Petrykivka,overcast clouds,48.7298,34.6351,61.72,53,99,5.32
