City_ID,City,Max Temp,CurrentDescription,Lat,Lng,Hotel Name
626,Fairbanks,38.1,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
636,Beringovskiy,40.1,overcast clouds,63.05,179.3167,Beringgorski
665,Mamlyutka,38.57,overcast clouds,54.9375,68.5394,
666,Novopetrovskoye,43.72,overcast clouds,55.9928,36.4719,Cottage village Slavenka
669,Abalak,35.42,light rain,58.1286,68.5944,Туристический комплекс Абалак
676,Vershino-Darasunskiy,39.38,scattered clouds,52.35,115.5167,
679,Chernyshevskiy,36.12,overcast clouds,63.0128,112.4714,Chernyseyskiy
680,Vanavara,43.05,overcast clouds,60.34,102.2797,
690,Shirokiy,41.85,clear sky,49.758,129.523,
699,Mackenzie,44.02,overcast clouds,55.2999,-123.1698,Hilton Shop
707,Kharitonovo,38.48,overcast clouds,61.4009,47.4978,
714,Whitehorse,41.09,overcast clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
